Execution ID:		301ffa17-82b1-42ec-809f-cd70b8d7f3b0
Backend:			psutil
Precision:			0.0001s
Input Metadata:		num_elements=10000000
Function:			consume_large_memory

TIME 1713483609.0928607		CURRENT 42.75390625 mb		PEAK 42.75390625 mb
TIME 1713483609.1034114		CURRENT 45.33203125 mb		PEAK 45.33203125 mb
TIME 1713483609.1139495		CURRENT 53.48828125 mb		PEAK 53.48828125 mb
TIME 1713483609.1193888		CURRENT 55.7421875 mb		PEAK 55.7421875 mb
TIME 1713483609.1247709		CURRENT 58.0625 mb		PEAK 58.0625 mb
TIME 1713483609.1404881		CURRENT 64.6171875 mb		PEAK 64.6171875 mb
TIME 1713483609.1561644		CURRENT 70.68359375 mb		PEAK 70.68359375 mb
TIME 1713483609.1615403		CURRENT 73.3203125 mb		PEAK 73.3203125 mb
TIME 1713483609.1720386		CURRENT 76.671875 mb		PEAK 76.671875 mb
TIME 1713483609.182479		CURRENT 78.4765625 mb		PEAK 78.4765625 mb
TIME 1713483609.1929345		CURRENT 81.828125 mb		PEAK 81.828125 mb
TIME 1713483609.2033932		CURRENT 86.8984375 mb		PEAK 86.8984375 mb
TIME 1713483609.2088358		CURRENT 89.62890625 mb		PEAK 89.62890625 mb
TIME 1713483609.2295716		CURRENT 95.30078125 mb		PEAK 95.30078125 mb
TIME 1713483609.2349596		CURRENT 99.68359375 mb		PEAK 99.68359375 mb
TIME 1713483609.2454016		CURRENT 102.26171875 mb		PEAK 102.26171875 mb
TIME 1713483609.255917		CURRENT 107.16015625 mb		PEAK 107.16015625 mb
TIME 1713483609.2714834		CURRENT 114.83203125 mb		PEAK 114.83203125 mb
TIME 1713483609.2871745		CURRENT 121.89453125 mb		PEAK 121.89453125 mb
TIME 1713483609.2976944		CURRENT 127.30859375 mb		PEAK 127.30859375 mb
TIME 1713483609.313284		CURRENT 132.46484375 mb		PEAK 132.46484375 mb
TIME 1713483609.3186214		CURRENT 138.13671875 mb		PEAK 138.13671875 mb
TIME 1713483609.3290446		CURRENT 140.71484375 mb		PEAK 140.71484375 mb
TIME 1713483609.3395345		CURRENT 146.12890625 mb		PEAK 146.12890625 mb
TIME 1713483609.3500414		CURRENT 151.7265625 mb		PEAK 151.7265625 mb
TIME 1713483609.3658876		CURRENT 159.9765625 mb		PEAK 159.9765625 mb
TIME 1713483609.3917923		CURRENT 170.8125 mb		PEAK 170.8125 mb
TIME 1713483609.40743		CURRENT 184.21875 mb		PEAK 184.21875 mb
TIME 1713483609.4282331		CURRENT 196.01171875 mb		PEAK 196.01171875 mb
TIME 1713483609.4336603		CURRENT 198.33203125 mb		PEAK 198.33203125 mb
TIME 1713483609.44417		CURRENT 202.97265625 mb		PEAK 202.97265625 mb
TIME 1713483609.4546938		CURRENT 208.38671875 mb		PEAK 208.38671875 mb
TIME 1713483609.4703217		CURRENT 216.1953125 mb		PEAK 216.1953125 mb
TIME 1713483609.475794		CURRENT 220.76953125 mb		PEAK 220.76953125 mb
TIME 1713483609.4914424		CURRENT 227.21484375 mb		PEAK 227.21484375 mb
TIME 1713483609.5019906		CURRENT 232.31640625 mb		PEAK 232.31640625 mb
TIME 1713483609.5074723		CURRENT 235.15234375 mb		PEAK 235.15234375 mb
TIME 1713483609.5180519		CURRENT 241.7890625 mb		PEAK 241.7890625 mb
TIME 1713483609.54431		CURRENT 248.4921875 mb		PEAK 248.4921875 mb
TIME 1713483609.5652242		CURRENT 262.86328125 mb		PEAK 262.86328125 mb
TIME 1713483609.581001		CURRENT 272.8515625 mb		PEAK 272.8515625 mb
TIME 1713483609.602009		CURRENT 279.296875 mb		PEAK 279.296875 mb
TIME 1713483609.6127746		CURRENT 286.0 mb		PEAK 286.0 mb
TIME 1713483609.633728		CURRENT 294.69921875 mb		PEAK 294.69921875 mb
TIME 1713483609.6597886		CURRENT 305.203125 mb		PEAK 305.203125 mb
TIME 1713483609.6754727		CURRENT 319.43359375 mb		PEAK 319.43359375 mb
TIME 1713483609.6860104		CURRENT 323.81640625 mb		PEAK 323.81640625 mb
TIME 1713483609.6965618		CURRENT 329.421875 mb		PEAK 329.421875 mb
TIME 1713483609.7122006		CURRENT 335.8671875 mb		PEAK 335.8671875 mb
TIME 1713483609.7279632		CURRENT 343.734375 mb		PEAK 343.734375 mb
TIME 1713483609.743748		CURRENT 351.7265625 mb		PEAK 351.7265625 mb
TIME 1713483609.7543342		CURRENT 358.10546875 mb		PEAK 358.10546875 mb
TIME 1713483609.7699249		CURRENT 364.484375 mb		PEAK 364.484375 mb
TIME 1713483609.790874		CURRENT 371.4453125 mb		PEAK 371.4453125 mb
TIME 1713483609.8014205		CURRENT 379.4375 mb		PEAK 379.4375 mb
TIME 1713483609.8120384		CURRENT 386.07421875 mb		PEAK 386.07421875 mb
TIME 1713483609.8276107		CURRENT 390.71484375 mb		PEAK 390.71484375 mb
TIME 1713483609.838142		CURRENT 399.15625 mb		PEAK 399.15625 mb
TIME 1713483609.8485746		CURRENT 401.4765625 mb		PEAK 401.4765625 mb
TIME 1713483609.8539119		CURRENT 407.85546875 mb		PEAK 407.85546875 mb
TIME 1713483609.8695858		CURRENT 414.55859375 mb		PEAK 414.55859375 mb
TIME 1713483609.8907795		CURRENT 424.29296875 mb		PEAK 424.29296875 mb
TIME 1713483609.8930125		CURRENT 427.3828125 mb		PEAK 427.3828125 mb
TIME 1713483609.959066		CURRENT 109.3203125 mb		PEAK 427.3828125 mb
