Execution ID  	: 20240420_030829
Input Metadata	: num_elements=10000000
Backend       	: tracemalloc
Precision     	: 0.0001 seconds
Function      	: consume_large_memory

MEMORY_USAGE	    0.00 MB
MEMORY_USAGE	    0.12 MB
MEMORY_USAGE	    0.27 MB
MEMORY_USAGE	    0.40 MB
MEMORY_USAGE	    0.58 MB
MEMORY_USAGE	    3.53 MB
MEMORY_USAGE	    3.61 MB
MEMORY_USAGE	    3.77 MB
MEMORY_USAGE	    3.90 MB
MEMORY_USAGE	    4.03 MB
MEMORY_USAGE	    4.03 MB
MEMORY_USAGE	    4.16 MB
MEMORY_USAGE	    4.27 MB
MEMORY_USAGE	    4.34 MB
MEMORY_USAGE	    4.84 MB
MEMORY_USAGE	    4.97 MB
MEMORY_USAGE	    5.08 MB
MEMORY_USAGE	    5.19 MB
MEMORY_USAGE	    5.33 MB
MEMORY_USAGE	    5.49 MB
MEMORY_USAGE	    5.63 MB
MEMORY_USAGE	    5.78 MB
MEMORY_USAGE	    6.31 MB
MEMORY_USAGE	    6.46 MB
MEMORY_USAGE	    6.53 MB
MEMORY_USAGE	    6.64 MB
MEMORY_USAGE	    6.81 MB
MEMORY_USAGE	    6.95 MB
MEMORY_USAGE	    7.11 MB
MEMORY_USAGE	    7.23 MB
MEMORY_USAGE	    7.33 MB
MEMORY_USAGE	    7.89 MB
MEMORY_USAGE	    8.02 MB
MEMORY_USAGE	    8.14 MB
MEMORY_USAGE	    8.27 MB
MEMORY_USAGE	    8.38 MB
MEMORY_USAGE	    8.49 MB
MEMORY_USAGE	    8.59 MB
MEMORY_USAGE	    8.72 MB
MEMORY_USAGE	    8.82 MB
MEMORY_USAGE	    8.93 MB
MEMORY_USAGE	    9.05 MB
MEMORY_USAGE	    9.15 MB
MEMORY_USAGE	    9.79 MB
MEMORY_USAGE	    9.89 MB
MEMORY_USAGE	    9.99 MB
MEMORY_USAGE	   10.02 MB
MEMORY_USAGE	   10.14 MB
MEMORY_USAGE	   10.25 MB
MEMORY_USAGE	   10.33 MB
MEMORY_USAGE	   10.42 MB
MEMORY_USAGE	   10.47 MB
MEMORY_USAGE	   10.59 MB
MEMORY_USAGE	   10.73 MB
MEMORY_USAGE	   10.88 MB
MEMORY_USAGE	   11.04 MB
MEMORY_USAGE	   11.15 MB
MEMORY_USAGE	   11.83 MB
MEMORY_USAGE	   11.93 MB
MEMORY_USAGE	   12.03 MB
MEMORY_USAGE	   12.13 MB
MEMORY_USAGE	   12.27 MB
MEMORY_USAGE	   12.39 MB
