Execution ID  	: 20240420_033722
Input Metadata	: num_elements=10000000
Backend       	: tracemalloc
Precision     	: 0.0001 seconds
Function      	: consume_large_memory

MEMORY_USAGE	    0.00 MB
MEMORY_USAGE	    0.00 MB
MEMORY_USAGE	    0.00 MB
MEMORY_USAGE	    0.00 MB
MEMORY_USAGE	    0.26 MB
MEMORY_USAGE	    0.51 MB
MEMORY_USAGE	    0.81 MB
MEMORY_USAGE	    1.02 MB
MEMORY_USAGE	    1.29 MB
MEMORY_USAGE	    1.58 MB
MEMORY_USAGE	    1.76 MB
MEMORY_USAGE	    2.00 MB
MEMORY_USAGE	    2.13 MB
MEMORY_USAGE	    2.41 MB
MEMORY_USAGE	    2.69 MB
MEMORY_USAGE	    2.97 MB
MEMORY_USAGE	    3.26 MB
MEMORY_USAGE	    3.56 MB
MEMORY_USAGE	    3.74 MB
MEMORY_USAGE	    4.04 MB
MEMORY_USAGE	    4.13 MB
MEMORY_USAGE	    4.31 MB
MEMORY_USAGE	    4.64 MB
MEMORY_USAGE	    4.85 MB
MEMORY_USAGE	    5.20 MB
MEMORY_USAGE	    5.31 MB
MEMORY_USAGE	    5.69 MB
MEMORY_USAGE	    5.91 MB
MEMORY_USAGE	    6.12 MB
MEMORY_USAGE	    6.54 MB
MEMORY_USAGE	    6.76 MB
MEMORY_USAGE	    6.96 MB
MEMORY_USAGE	    7.38 MB
MEMORY_USAGE	    7.57 MB
MEMORY_USAGE	    7.79 MB
MEMORY_USAGE	    8.21 MB
MEMORY_USAGE	    8.36 MB
MEMORY_USAGE	    8.47 MB
MEMORY_USAGE	    8.57 MB
MEMORY_USAGE	    8.57 MB
MEMORY_USAGE	    8.68 MB
MEMORY_USAGE	    8.80 MB
MEMORY_USAGE	    9.16 MB
MEMORY_USAGE	    9.27 MB
MEMORY_USAGE	    9.39 MB
MEMORY_USAGE	    9.50 MB
MEMORY_USAGE	    9.60 MB
MEMORY_USAGE	    9.73 MB
MEMORY_USAGE	    9.86 MB
MEMORY_USAGE	   10.29 MB
MEMORY_USAGE	   10.38 MB
MEMORY_USAGE	   10.50 MB
MEMORY_USAGE	   10.62 MB
MEMORY_USAGE	   10.62 MB
MEMORY_USAGE	   10.73 MB
MEMORY_USAGE	   10.86 MB
MEMORY_USAGE	   10.99 MB
MEMORY_USAGE	   11.16 MB
MEMORY_USAGE	   11.63 MB
MEMORY_USAGE	   11.74 MB
MEMORY_USAGE	   11.88 MB
MEMORY_USAGE	   12.01 MB
MEMORY_USAGE	   12.16 MB
