Execution ID  	: 20240420_033722
Input Metadata	: num_elements=10000000
Backend       	: kernel
Precision     	: 0.0001 seconds
Function      	: consume_large_memory

MEMORY_USAGE	   20.95 MB
MEMORY_USAGE	   22.28 MB
MEMORY_USAGE	   26.21 MB
MEMORY_USAGE	   28.52 MB
MEMORY_USAGE	   32.26 MB
MEMORY_USAGE	   36.20 MB
MEMORY_USAGE	   39.76 MB
MEMORY_USAGE	   43.39 MB
MEMORY_USAGE	   47.89 MB
MEMORY_USAGE	   50.89 MB
MEMORY_USAGE	   54.79 MB
MEMORY_USAGE	   58.79 MB
MEMORY_USAGE	   62.93 MB
MEMORY_USAGE	   66.93 MB
MEMORY_USAGE	   71.20 MB
MEMORY_USAGE	   74.64 MB
MEMORY_USAGE	   78.64 MB
MEMORY_USAGE	   82.25 MB
MEMORY_USAGE	   85.25 MB
MEMORY_USAGE	   91.07 MB
MEMORY_USAGE	   94.07 MB
MEMORY_USAGE	   96.07 MB
MEMORY_USAGE	  101.11 MB
MEMORY_USAGE	  102.11 MB
MEMORY_USAGE	  103.11 MB
MEMORY_USAGE	  106.11 MB
MEMORY_USAGE	  110.41 MB
MEMORY_USAGE	  111.41 MB
MEMORY_USAGE	  114.41 MB
MEMORY_USAGE	  117.41 MB
MEMORY_USAGE	  124.00 MB
MEMORY_USAGE	  126.00 MB
MEMORY_USAGE	  129.00 MB
MEMORY_USAGE	  132.00 MB
MEMORY_USAGE	  137.90 MB
MEMORY_USAGE	  140.90 MB
MEMORY_USAGE	  141.90 MB
MEMORY_USAGE	  144.90 MB
MEMORY_USAGE	  151.17 MB
MEMORY_USAGE	  154.17 MB
MEMORY_USAGE	  157.17 MB
MEMORY_USAGE	  160.17 MB
MEMORY_USAGE	  166.85 MB
MEMORY_USAGE	  169.85 MB
MEMORY_USAGE	  172.86 MB
MEMORY_USAGE	  175.86 MB
MEMORY_USAGE	  178.86 MB
MEMORY_USAGE	  186.00 MB
MEMORY_USAGE	  189.00 MB
MEMORY_USAGE	  192.00 MB
MEMORY_USAGE	  195.00 MB
MEMORY_USAGE	  198.00 MB
MEMORY_USAGE	  202.00 MB
MEMORY_USAGE	  209.66 MB
MEMORY_USAGE	  212.66 MB
MEMORY_USAGE	  215.66 MB
MEMORY_USAGE	  218.66 MB
MEMORY_USAGE	  221.66 MB
MEMORY_USAGE	  223.66 MB
MEMORY_USAGE	  231.89 MB
MEMORY_USAGE	  234.89 MB
MEMORY_USAGE	  237.89 MB
MEMORY_USAGE	  240.89 MB
MEMORY_USAGE	  242.89 MB
MEMORY_USAGE	  245.89 MB
MEMORY_USAGE	  248.89 MB
MEMORY_USAGE	  251.89 MB
MEMORY_USAGE	  260.79 MB
MEMORY_USAGE	  263.79 MB
MEMORY_USAGE	  267.79 MB
MEMORY_USAGE	  270.79 MB
MEMORY_USAGE	  273.79 MB
MEMORY_USAGE	  276.79 MB
MEMORY_USAGE	  279.79 MB
MEMORY_USAGE	  289.42 MB
MEMORY_USAGE	  292.42 MB
MEMORY_USAGE	  296.42 MB
MEMORY_USAGE	  299.42 MB
MEMORY_USAGE	  303.42 MB
MEMORY_USAGE	  306.42 MB
MEMORY_USAGE	  307.42 MB
MEMORY_USAGE	  310.42 MB
MEMORY_USAGE	  314.42 MB
MEMORY_USAGE	  324.88 MB
MEMORY_USAGE	  325.88 MB
MEMORY_USAGE	  329.88 MB
MEMORY_USAGE	  333.89 MB
MEMORY_USAGE	  336.89 MB
MEMORY_USAGE	  339.89 MB
MEMORY_USAGE	  343.89 MB
MEMORY_USAGE	  345.89 MB
MEMORY_USAGE	  349.89 MB
MEMORY_USAGE	  350.89 MB
MEMORY_USAGE	  362.29 MB
MEMORY_USAGE	  364.29 MB
MEMORY_USAGE	  367.29 MB
MEMORY_USAGE	  370.29 MB
MEMORY_USAGE	  373.29 MB
MEMORY_USAGE	  376.29 MB
MEMORY_USAGE	  379.29 MB
MEMORY_USAGE	  382.29 MB
MEMORY_USAGE	  384.29 MB
MEMORY_USAGE	  387.29 MB
MEMORY_USAGE	  390.29 MB
MEMORY_USAGE	  394.29 MB
MEMORY_USAGE	  406.73 MB
MEMORY_USAGE	  409.73 MB
MEMORY_USAGE	  409.73 MB
MEMORY_USAGE	  409.73 MB
MEMORY_USAGE	  409.73 MB
MEMORY_USAGE	  409.73 MB
MEMORY_USAGE	  123.75 MB
MEMORY_USAGE	  123.75 MB
MEMORY_USAGE	  123.75 MB
MEMORY_USAGE	  123.75 MB
MEMORY_USAGE	  123.75 MB
MEMORY_USAGE	  123.75 MB
MEMORY_USAGE	  123.75 MB
MEMORY_USAGE	  123.75 MB
MEMORY_USAGE	  123.75 MB
