Execution ID  	: 20240420_033722
Input Metadata	: num_elements=10000000
Backend       	: mprof
Precision     	: 0.0001 seconds
Function      	: consume_large_memory

MEMORY_USAGE	   19.26 MB
MEMORY_USAGE	   19.26 MB
MEMORY_USAGE	   19.29 MB
MEMORY_USAGE	   19.38 MB
MEMORY_USAGE	   19.72 MB
MEMORY_USAGE	   19.84 MB
MEMORY_USAGE	   20.43 MB
MEMORY_USAGE	   20.95 MB
MEMORY_USAGE	   21.20 MB
MEMORY_USAGE	   21.65 MB
MEMORY_USAGE	   22.20 MB
MEMORY_USAGE	   22.71 MB
MEMORY_USAGE	   22.97 MB
MEMORY_USAGE	   23.49 MB
MEMORY_USAGE	   24.00 MB
MEMORY_USAGE	   24.52 MB
MEMORY_USAGE	   24.96 MB
MEMORY_USAGE	   25.39 MB
MEMORY_USAGE	   25.91 MB
MEMORY_USAGE	   26.42 MB
MEMORY_USAGE	   26.94 MB
MEMORY_USAGE	   27.28 MB
MEMORY_USAGE	   27.79 MB
MEMORY_USAGE	   28.30 MB
MEMORY_USAGE	   28.56 MB
MEMORY_USAGE	   29.08 MB
MEMORY_USAGE	   29.59 MB
MEMORY_USAGE	   30.11 MB
MEMORY_USAGE	   30.57 MB
MEMORY_USAGE	   30.83 MB
MEMORY_USAGE	   31.34 MB
MEMORY_USAGE	   31.70 MB
MEMORY_USAGE	   31.95 MB
MEMORY_USAGE	   32.47 MB
MEMORY_USAGE	   32.73 MB
MEMORY_USAGE	   33.24 MB
MEMORY_USAGE	   33.76 MB
MEMORY_USAGE	   34.27 MB
MEMORY_USAGE	   34.79 MB
MEMORY_USAGE	   35.26 MB
MEMORY_USAGE	   35.78 MB
MEMORY_USAGE	   36.04 MB
MEMORY_USAGE	   36.55 MB
MEMORY_USAGE	   37.07 MB
MEMORY_USAGE	   37.58 MB
MEMORY_USAGE	   38.10 MB
MEMORY_USAGE	   38.61 MB
MEMORY_USAGE	   39.13 MB
MEMORY_USAGE	   39.39 MB
MEMORY_USAGE	   39.64 MB
MEMORY_USAGE	   40.16 MB
MEMORY_USAGE	   40.68 MB
MEMORY_USAGE	   41.19 MB
MEMORY_USAGE	   41.68 MB
MEMORY_USAGE	   42.20 MB
MEMORY_USAGE	   42.71 MB
MEMORY_USAGE	   42.97 MB
MEMORY_USAGE	   43.48 MB
MEMORY_USAGE	   44.00 MB
MEMORY_USAGE	   44.49 MB
MEMORY_USAGE	   45.00 MB
MEMORY_USAGE	   45.52 MB
MEMORY_USAGE	   46.03 MB
MEMORY_USAGE	   46.29 MB
MEMORY_USAGE	   46.80 MB
MEMORY_USAGE	   47.32 MB
MEMORY_USAGE	   47.84 MB
MEMORY_USAGE	   48.35 MB
MEMORY_USAGE	   48.87 MB
MEMORY_USAGE	   49.38 MB
MEMORY_USAGE	   49.90 MB
MEMORY_USAGE	   50.16 MB
MEMORY_USAGE	   50.67 MB
MEMORY_USAGE	   51.19 MB
MEMORY_USAGE	   51.44 MB
MEMORY_USAGE	   51.96 MB
MEMORY_USAGE	   52.47 MB
MEMORY_USAGE	   52.99 MB
MEMORY_USAGE	   53.50 MB
MEMORY_USAGE	   54.02 MB
MEMORY_USAGE	   54.54 MB
MEMORY_USAGE	   54.79 MB
MEMORY_USAGE	   55.31 MB
MEMORY_USAGE	   55.82 MB
MEMORY_USAGE	   56.34 MB
MEMORY_USAGE	   56.86 MB
MEMORY_USAGE	   57.11 MB
MEMORY_USAGE	   57.63 MB
MEMORY_USAGE	   58.14 MB
MEMORY_USAGE	   58.66 MB
MEMORY_USAGE	   58.92 MB
MEMORY_USAGE	   59.43 MB
MEMORY_USAGE	   59.93 MB
MEMORY_USAGE	   60.44 MB
MEMORY_USAGE	   60.70 MB
MEMORY_USAGE	   61.21 MB
MEMORY_USAGE	   61.73 MB
MEMORY_USAGE	   62.25 MB
MEMORY_USAGE	   62.50 MB
MEMORY_USAGE	   63.02 MB
MEMORY_USAGE	   63.54 MB
MEMORY_USAGE	   63.79 MB
MEMORY_USAGE	   64.31 MB
MEMORY_USAGE	   64.72 MB
MEMORY_USAGE	   65.23 MB
MEMORY_USAGE	   65.75 MB
MEMORY_USAGE	   66.00 MB
MEMORY_USAGE	   66.52 MB
MEMORY_USAGE	   67.04 MB
MEMORY_USAGE	   67.55 MB
MEMORY_USAGE	   67.81 MB
MEMORY_USAGE	   68.32 MB
MEMORY_USAGE	   68.84 MB
MEMORY_USAGE	   69.36 MB
MEMORY_USAGE	   69.61 MB
MEMORY_USAGE	   70.13 MB
MEMORY_USAGE	   70.64 MB
MEMORY_USAGE	   71.16 MB
MEMORY_USAGE	   71.42 MB
MEMORY_USAGE	   71.93 MB
MEMORY_USAGE	   72.45 MB
MEMORY_USAGE	   72.71 MB
MEMORY_USAGE	   73.22 MB
MEMORY_USAGE	   73.74 MB
MEMORY_USAGE	   74.00 MB
MEMORY_USAGE	   74.51 MB
MEMORY_USAGE	   74.77 MB
MEMORY_USAGE	   75.29 MB
MEMORY_USAGE	   75.80 MB
MEMORY_USAGE	   76.32 MB
MEMORY_USAGE	   76.57 MB
MEMORY_USAGE	   77.09 MB
MEMORY_USAGE	   77.61 MB
MEMORY_USAGE	   78.12 MB
MEMORY_USAGE	   78.64 MB
MEMORY_USAGE	   78.89 MB
MEMORY_USAGE	   79.41 MB
MEMORY_USAGE	   79.93 MB
MEMORY_USAGE	   80.44 MB
MEMORY_USAGE	   80.96 MB
MEMORY_USAGE	   81.47 MB
MEMORY_USAGE	   81.99 MB
MEMORY_USAGE	   82.50 MB
MEMORY_USAGE	   83.02 MB
MEMORY_USAGE	   83.54 MB
MEMORY_USAGE	   83.99 MB
MEMORY_USAGE	   84.50 MB
MEMORY_USAGE	   85.02 MB
MEMORY_USAGE	   85.79 MB
MEMORY_USAGE	   86.31 MB
MEMORY_USAGE	   86.82 MB
MEMORY_USAGE	   87.34 MB
MEMORY_USAGE	   87.86 MB
MEMORY_USAGE	   88.37 MB
MEMORY_USAGE	   88.89 MB
MEMORY_USAGE	   89.40 MB
MEMORY_USAGE	   89.92 MB
MEMORY_USAGE	   90.43 MB
MEMORY_USAGE	   90.95 MB
MEMORY_USAGE	   91.46 MB
MEMORY_USAGE	   91.98 MB
MEMORY_USAGE	   92.34 MB
MEMORY_USAGE	   92.86 MB
MEMORY_USAGE	   93.38 MB
MEMORY_USAGE	   93.89 MB
MEMORY_USAGE	   94.41 MB
MEMORY_USAGE	   94.92 MB
MEMORY_USAGE	   95.44 MB
MEMORY_USAGE	   95.95 MB
MEMORY_USAGE	   96.47 MB
MEMORY_USAGE	   96.98 MB
MEMORY_USAGE	   97.50 MB
MEMORY_USAGE	   98.02 MB
MEMORY_USAGE	   98.53 MB
MEMORY_USAGE	   99.05 MB
MEMORY_USAGE	   99.30 MB
MEMORY_USAGE	   99.82 MB
MEMORY_USAGE	  100.34 MB
MEMORY_USAGE	  100.85 MB
MEMORY_USAGE	  101.37 MB
MEMORY_USAGE	  101.88 MB
MEMORY_USAGE	  102.40 MB
MEMORY_USAGE	  102.91 MB
MEMORY_USAGE	  103.43 MB
MEMORY_USAGE	  103.95 MB
MEMORY_USAGE	  104.46 MB
MEMORY_USAGE	  104.98 MB
MEMORY_USAGE	  105.49 MB
MEMORY_USAGE	  106.01 MB
MEMORY_USAGE	  106.52 MB
MEMORY_USAGE	  107.04 MB
MEMORY_USAGE	  107.55 MB
MEMORY_USAGE	  107.81 MB
MEMORY_USAGE	  108.33 MB
MEMORY_USAGE	  108.84 MB
MEMORY_USAGE	  109.36 MB
MEMORY_USAGE	  109.88 MB
MEMORY_USAGE	  110.39 MB
MEMORY_USAGE	  110.91 MB
MEMORY_USAGE	  111.42 MB
MEMORY_USAGE	  111.94 MB
MEMORY_USAGE	  112.20 MB
MEMORY_USAGE	  112.71 MB
MEMORY_USAGE	  113.23 MB
MEMORY_USAGE	  113.74 MB
MEMORY_USAGE	  114.26 MB
MEMORY_USAGE	  114.77 MB
MEMORY_USAGE	  115.03 MB
MEMORY_USAGE	  115.55 MB
MEMORY_USAGE	  116.06 MB
MEMORY_USAGE	  116.58 MB
MEMORY_USAGE	  116.84 MB
MEMORY_USAGE	  117.35 MB
MEMORY_USAGE	  117.87 MB
MEMORY_USAGE	  118.12 MB
MEMORY_USAGE	  118.64 MB
MEMORY_USAGE	  119.16 MB
MEMORY_USAGE	  119.41 MB
MEMORY_USAGE	  119.93 MB
MEMORY_USAGE	  120.45 MB
MEMORY_USAGE	  120.96 MB
MEMORY_USAGE	  121.22 MB
MEMORY_USAGE	  121.73 MB
MEMORY_USAGE	  122.25 MB
MEMORY_USAGE	  122.77 MB
MEMORY_USAGE	  123.21 MB
MEMORY_USAGE	  123.47 MB
MEMORY_USAGE	  123.98 MB
MEMORY_USAGE	  124.50 MB
MEMORY_USAGE	  125.02 MB
MEMORY_USAGE	  125.27 MB
MEMORY_USAGE	  125.79 MB
MEMORY_USAGE	  126.30 MB
MEMORY_USAGE	  126.56 MB
MEMORY_USAGE	  127.08 MB
MEMORY_USAGE	  127.59 MB
MEMORY_USAGE	  127.85 MB
MEMORY_USAGE	  128.37 MB
MEMORY_USAGE	  128.88 MB
MEMORY_USAGE	  129.14 MB
MEMORY_USAGE	  129.66 MB
MEMORY_USAGE	  129.91 MB
MEMORY_USAGE	  130.17 MB
MEMORY_USAGE	  130.69 MB
MEMORY_USAGE	  130.95 MB
MEMORY_USAGE	  131.46 MB
MEMORY_USAGE	  131.72 MB
MEMORY_USAGE	  132.23 MB
MEMORY_USAGE	  132.49 MB
MEMORY_USAGE	  133.01 MB
MEMORY_USAGE	  133.27 MB
MEMORY_USAGE	  133.78 MB
MEMORY_USAGE	  134.30 MB
MEMORY_USAGE	  134.55 MB
MEMORY_USAGE	  135.07 MB
MEMORY_USAGE	  135.59 MB
MEMORY_USAGE	  135.92 MB
MEMORY_USAGE	  136.43 MB
MEMORY_USAGE	  136.95 MB
MEMORY_USAGE	  137.46 MB
MEMORY_USAGE	  137.98 MB
MEMORY_USAGE	  138.49 MB
MEMORY_USAGE	  139.01 MB
MEMORY_USAGE	  139.27 MB
MEMORY_USAGE	  139.78 MB
MEMORY_USAGE	  140.30 MB
MEMORY_USAGE	  140.81 MB
MEMORY_USAGE	  141.33 MB
MEMORY_USAGE	  141.84 MB
MEMORY_USAGE	  142.36 MB
MEMORY_USAGE	  142.88 MB
MEMORY_USAGE	  143.39 MB
MEMORY_USAGE	  143.91 MB
MEMORY_USAGE	  144.42 MB
MEMORY_USAGE	  144.94 MB
MEMORY_USAGE	  145.20 MB
MEMORY_USAGE	  145.71 MB
MEMORY_USAGE	  146.23 MB
MEMORY_USAGE	  146.74 MB
MEMORY_USAGE	  147.26 MB
MEMORY_USAGE	  147.77 MB
MEMORY_USAGE	  148.29 MB
MEMORY_USAGE	  148.80 MB
MEMORY_USAGE	  149.06 MB
MEMORY_USAGE	  149.58 MB
MEMORY_USAGE	  150.09 MB
MEMORY_USAGE	  150.61 MB
MEMORY_USAGE	  151.12 MB
MEMORY_USAGE	  151.64 MB
MEMORY_USAGE	  152.16 MB
MEMORY_USAGE	  152.41 MB
MEMORY_USAGE	  152.67 MB
MEMORY_USAGE	  155.18 MB
MEMORY_USAGE	  155.44 MB
MEMORY_USAGE	  155.96 MB
MEMORY_USAGE	  156.21 MB
MEMORY_USAGE	  156.73 MB
MEMORY_USAGE	  156.99 MB
MEMORY_USAGE	  157.25 MB
MEMORY_USAGE	  157.76 MB
MEMORY_USAGE	  158.02 MB
MEMORY_USAGE	  158.28 MB
MEMORY_USAGE	  158.54 MB
MEMORY_USAGE	  159.05 MB
MEMORY_USAGE	  159.31 MB
MEMORY_USAGE	  159.82 MB
MEMORY_USAGE	  160.08 MB
MEMORY_USAGE	  160.60 MB
MEMORY_USAGE	  160.86 MB
MEMORY_USAGE	  161.37 MB
MEMORY_USAGE	  161.89 MB
MEMORY_USAGE	  162.14 MB
MEMORY_USAGE	  162.66 MB
