Execution ID:		ca89fce8-c5d2-4925-9f20-54a6c98cbd2d
Backend:			resource
Precision:			0.0001s
Input Metadata:		num_elements=10000000
Function:			consume_large_memory

TIME 1713412008.0582817		CURRENT 42.875 mb		PEAK 42.875 mb
TIME 1713412008.068887		CURRENT 49.0625 mb		PEAK 49.0625 mb
TIME 1713412008.0743046		CURRENT 51.80859375 mb		PEAK 51.80859375 mb
TIME 1713412008.084921		CURRENT 57.08203125 mb		PEAK 57.08203125 mb
TIME 1713412008.0955346		CURRENT 62.1015625 mb		PEAK 62.1015625 mb
TIME 1713412008.1010146		CURRENT 64.83203125 mb		PEAK 64.83203125 mb
TIME 1713412008.1116948		CURRENT 70.125 mb		PEAK 70.125 mb
TIME 1713412008.1224132		CURRENT 75.28125 mb		PEAK 75.28125 mb
TIME 1713412008.1279073		CURRENT 77.59765625 mb		PEAK 77.59765625 mb
TIME 1713412008.138454		CURRENT 82.625 mb		PEAK 82.625 mb
TIME 1713412008.1490335		CURRENT 87.5234375 mb		PEAK 87.5234375 mb
TIME 1713412008.159901		CURRENT 92.6796875 mb		PEAK 92.6796875 mb
TIME 1713412008.1654825		CURRENT 95.26953125 mb		PEAK 95.26953125 mb
TIME 1713412008.170887		CURRENT 98.10546875 mb		PEAK 98.10546875 mb
TIME 1713412008.1814268		CURRENT 103.2109375 mb		PEAK 103.2109375 mb
TIME 1713412008.2125883		CURRENT 117.90625 mb		PEAK 117.90625 mb
TIME 1713412008.233742		CURRENT 126.30859375 mb		PEAK 126.30859375 mb
TIME 1713412008.254844		CURRENT 134.30078125 mb		PEAK 134.30078125 mb
TIME 1713412008.2810953		CURRENT 146.08984375 mb		PEAK 146.08984375 mb
TIME 1713412008.3021133		CURRENT 156.078125 mb		PEAK 156.078125 mb
TIME 1713412008.328262		CURRENT 167.6796875 mb		PEAK 167.6796875 mb
TIME 1713412008.3491137		CURRENT 177.421875 mb		PEAK 177.421875 mb
TIME 1713412008.3700545		CURRENT 187.21875 mb		PEAK 187.21875 mb
TIME 1713412008.3909173		CURRENT 197.1796875 mb		PEAK 197.1796875 mb
TIME 1713412008.422197		CURRENT 214.38671875 mb		PEAK 214.38671875 mb
TIME 1713412008.443161		CURRENT 223.859375 mb		PEAK 223.859375 mb
TIME 1713412008.4694808		CURRENT 235.91015625 mb		PEAK 235.91015625 mb
TIME 1713412008.5010347		CURRENT 250.0234375 mb		PEAK 250.0234375 mb
TIME 1713412008.5224617		CURRENT 260.265625 mb		PEAK 260.265625 mb
TIME 1713412008.543642		CURRENT 268.70703125 mb		PEAK 268.70703125 mb
TIME 1713412008.5698884		CURRENT 278.76171875 mb		PEAK 278.76171875 mb
TIME 1713412008.5909224		CURRENT 289.3125 mb		PEAK 289.3125 mb
TIME 1713412008.6067667		CURRENT 296.015625 mb		PEAK 296.015625 mb
TIME 1713412008.6380596		CURRENT 310.90234375 mb		PEAK 310.90234375 mb
TIME 1713412008.664292		CURRENT 324.5 mb		PEAK 324.5 mb
TIME 1713412008.6749034		CURRENT 330.87890625 mb		PEAK 330.87890625 mb
TIME 1713412008.6958902		CURRENT 339.64453125 mb		PEAK 339.64453125 mb
TIME 1713412008.7220664		CURRENT 352.7265625 mb		PEAK 352.7265625 mb
TIME 1713412008.7535505		CURRENT 369.09765625 mb		PEAK 369.09765625 mb
TIME 1713412008.7849667		CURRENT 382.390625 mb		PEAK 382.390625 mb
TIME 1713412008.8111498		CURRENT 395.73046875 mb		PEAK 395.73046875 mb
TIME 1713412008.8374112		CURRENT 407.5234375 mb		PEAK 407.5234375 mb
TIME 1713412008.8533602		CURRENT 415.96484375 mb		PEAK 415.96484375 mb
TIME 1713412008.9608471		CURRENT 428.0234375 mb		PEAK 428.0234375 mb
