Attribute name,Shape D1,Initial memory usage,Data memory usage,Computing memory usage,Final memory usage
 semblance,800,10883.2,312467.2,191525.6,503992.8
 semblance,1000,10955.2,330061.6,189016.8,519078.4
 sweetness,200,10788.8,267061.6,311576.0,578637.6
 sweetness,400,10836.0,290487.2,333353.6,623840.8
 sweetness,600,10895.2,299671.2,193696.8,493368.0
 sweetness,800,10898.4,313093.6,195853.6,508947.2
 sweetness,1000,10947.2,330880.8,199013.6,529894.4
 time_gain,200,10925.6,272924.0,182738.4,455662.4
 time_gain,400,10795.2,286788.8,182360.0,469148.8
 time_gain,600,10868.8,297275.2,182053.6,479328.8
 time_gain,800,10856.0,316392.8,182376.8,498769.6
 time_gain,1000,10844.0,327549.6,181944.0,509493.6
 trace_agc,200,10844.0,267701.6,220816.0,488517.6
 trace_agc,400,10958.4,284128.8,189964.0,474092.8
 trace_agc,600,11004.0,298720.8,193284.8,492005.6
 trace_agc,800,10899.2,316254.4,195972.0,512226.4
 trace_agc,1000,10897.6,328051.2,197959.2,526010.4
