Execution ID, Initial memory usage, Data memory usage, Computing memory usage, Final memory usage
aa7f57d1-af46-4322-9cde-0fbe258a247d, 10720, 324024, 203708, 527732
bc396cdd-982e-4403-8b17-12449443328c, 10772, 272136, 199080, 471216
56630ea5-a318-4dfa-b650-51ddd47d3d34, 10808, 260908, 199008, 459916
090277c9-a26a-4c21-a39f-921650935d4b, 10776, 260488, 196560, 457048
12bdf427-3b1d-43b4-b2ff-8e616bd53bcb, 10816, 260788, 197100, 457888
87a0470f-9dfb-4047-bc65-086975456616, 10704, 255048, 196572, 451620
4811d8b7-6e72-44a5-a480-33e2284d6ace, 11072, 275024, 183896, 458920
1805d94f-ff0b-4745-9f85-50b12fe3ee8a, 10860, 273552, 181980, 455532
f225e38b-c4b8-40f3-a549-941b27f78fa5, 10752, 274256, 181848, 456104
25baa71f-95f1-43dc-9c2b-5dc6363bf1ae, 10952, 284140, 181152, 465292
18d4f1ed-a4b1-4ee7-bd81-0f929459f07e, 10932, 277920, 181440, 459360
60a7a59d-2368-42b1-94f7-48141ddfdc4e, 10768, 294784, 181436, 476220
870b7e17-c287-4188-ac2f-96a588a9c248, 10976, 283132, 181076, 464208
5dd5eb5e-3994-4517-aada-ccdc11955af8, 10804, 283748, 183856, 467604
541f77a8-b546-44d1-a4c5-61ef998bd60f, 10976, 295288, 183996, 479284
c101751e-7190-4132-8301-e974091a6b10, 10604, 291056, 180508, 471564
413bcb97-e372-4d5b-afbf-db385ec8f160, 11008, 305440, 183236, 488676
7abc7230-533a-4016-b22a-726033cf4e86, 10824, 297692, 181392, 479084
d9a2f4e9-f644-4398-8f20-ceb2f3674836, 10932, 298380, 180816, 479196
f03a0421-18a4-42c3-9ab7-d9a9f080a4b9, 10732, 312988, 183832, 496820
2a668a91-ddaf-4402-8798-363e845ddfcf, 10796, 307208, 181404, 488612
30bc7547-d559-42a3-af16-e3c47bb75d1d, 10884, 320240, 181424, 501664
e1fd449d-3ccf-4324-9a31-ef59b36371e7, 10892, 328916, 181332, 510248
6a5f3309-fe5e-4acd-9aa7-7aae109c3b4d, 10716, 317212, 181472, 498684
4d85e150-10e0-433f-9ac0-a42e18c2b560, 10820, 317088, 180940, 498028
71260a66-ee92-48f4-b84f-489f14ac39f3, 10900, 320236, 181564, 501800
14687a01-a362-4b6f-a8bd-a454672bf66f, 10868, 261208, 201812, 463020
0ad1794f-1c28-47f3-969a-0ae807c3894c, 10880, 257124, 201472, 458596
4145f58f-b885-4136-91c3-990bb5bc1ed7, 10952, 263860, 205688, 469548
0c624899-b201-4fd2-8aeb-8dfb80575492, 10856, 255232, 203772, 459004
6a5789f7-8079-45af-a17b-9305e786c3df, 10988, 258984, 203432, 462416
fd1204bc-0bb4-42ca-afcb-33cf06922f36, 11096, 283000, 220844, 503844
7b37b231-dc9c-471e-95d6-edfaa23e3280, 10912, 287948, 220180, 508128
e1de4d2f-d6ad-4c4d-9854-51cde0cb138b, 10816, 269724, 220676, 490400
e6ed3e26-1d21-486d-b80e-f23ea313386a, 11028, 278016, 218484, 496500
6f5a2718-970a-4071-9137-937101e116c9, 10816, 284340, 220540, 504880
ae13e0e3-22ae-436a-be8c-23d918cdcb3b, 10796, 291676, 188896, 480572
0a9bdb74-77e1-43e2-bc56-bbe8e85cacf5, 10724, 288892, 186556, 475448
ab2bbe36-503f-4062-8a97-4d42a4f7524f, 10796, 294016, 188784, 482800
8dc67896-e32c-43f9-a764-5d77f8f59ad8, 10888, 292120, 190196, 482316
89edad35-259e-44ad-a39c-19b37b4e1533, 11072, 289392, 188368, 477760
1fc73dda-defb-4843-ac48-1a5354ed1712, 10936, 312760, 186464, 499224
4879745e-d1e4-4c71-b425-bcd9b7c50ab1, 10820, 300028, 189236, 489264
9a103011-040e-4ce7-ad04-eb40aa613d5c, 11048, 303708, 191628, 495336
5c6ddcf1-a7e1-4ede-823c-72fa6e3b4b9b, 10984, 305352, 191160, 496512
eab6cbad-7c0e-420e-b4ee-5b9821ad9080, 10980, 301628, 187072, 488700
1a1bf8ab-10ba-41c6-9983-4bd177c87478, 10776, 316016, 189324, 505340
05866fdd-4951-4481-a7ad-1bab9813c2d1, 10748, 319880, 191144, 511024
7bb7dce4-a6df-4563-80e8-b3b09980c3d6, 10968, 328220, 188064, 516284
11fd7856-463f-4b77-bf55-37adbd2c9843, 10736, 319492, 187884, 507376
bff667b5-0155-4416-8b56-2dfb4ba92b6d, 10900, 324452, 190140, 514592
e3d81b65-dfc6-45dd-b9b2-faa56374332f, 10632, 259512, 350432, 609944
e1b9e10e-68ba-4829-82e7-ac417db1663b, 11048, 252888, 333468, 586356
b9b2325b-a036-4686-aeda-8beac88e2560, 10956, 253852, 350572, 604424
44d22648-5aca-4224-9bc0-2b56bdff1157, 11032, 269580, 333512, 603092
d521dbcb-16b7-4df4-862c-d30e855348af, 10832, 250532, 317252, 567784
b1d87b6a-6968-4111-b2ca-6e8fef9dc08e, 10944, 261512, 284088, 545600
40d741ba-5c58-46d9-bb72-fa387b757580, 10784, 271288, 416340, 687628
bfb0230a-5bfe-4e2c-b4e5-2d9af3802b4c, 11028, 274656, 288512, 563168
c5bbb1fc-a821-48e5-8ced-1226954e400b, 10800, 264768, 348644, 613412
4bf7b5eb-6240-46c3-a768-98c7caba2fb0, 10924, 277160, 351340, 628500
d6854f50-b63f-46ee-91ff-b7839dc06724, 10764, 284864, 197060, 481924
749eab7a-9d81-40a2-8455-f56a48f467da, 10888, 283600, 196828, 480428
ddd37a60-4c7a-473e-98fd-f9998fd751ff, 11100, 290208, 197856, 488064
25d1adcf-66be-46af-8bef-993c17f716a0, 10780, 289624, 195332, 484956
9e6cdd97-87a7-4294-a036-bf9796909ff1, 11200, 293676, 194372, 488048
37b59fa2-e6c4-4f36-a532-f1f37e6670cb, 11156, 311816, 199696, 511512
f1c5be12-2ac3-4f8e-a4fe-27e60ad56ab5, 11200, 310652, 199664, 510316
e91c0189-ce1d-418b-9eb6-95598d018340, 11056, 300572, 197744, 498316
8b1f7702-cb58-4585-9b01-1a7ede4ce9f6, 10784, 309896, 199460, 509356
41255b2c-396a-450f-8b74-a55cbe4556e5, 10808, 306060, 198340, 504400
7aa5cac1-661b-4062-91c0-62bb116dd298, 10760, 321524, 200604, 522128
2fa70518-0c82-4333-b9af-96e1ca067fd2, 10980, 328812, 201876, 530688
88f67552-958f-4d59-8641-2d497ab83594, 10896, 313516, 207420, 520936
5531a72e-e029-4b2d-bd5e-2d6edde02733, 10864, 320700, 204064, 524764
2a860e59-2513-4cb2-9038-02cd4a0ba920, 10832, 320240, 203192, 523432
09b67728-a70a-4631-9eeb-a0728c24a2d7, 10736, 260452, 206404, 466856
3226af30-d31c-42eb-9090-236a15ea2eb1, 10856, 251100, 207340, 458440
8d83c95d-6ff9-4bdb-82ab-5832601ca348, 10888, 254684, 207376, 462060
922e8b18-7711-4933-abe4-7d76e90d596a, 10936, 260204, 207672, 467876
288fad14-a6f3-4217-b915-671cdb5984e3, 10896, 251472, 207572, 459044
e70a09ba-12fc-4668-a4a6-8d59a1903859, 11008, 270668, 192876, 463544
db9c7d02-7559-46c5-9a0e-563f73d03360, 10780, 273020, 191804, 464824
882781a6-ca5a-4c93-a1ae-09a82ff662e2, 10944, 270652, 192664, 463316
a6171283-8887-458e-b357-f3c4d7afd27b, 10872, 278820, 192208, 471028
be476e60-ab86-4f86-84c8-e8e88e75b261, 10916, 275060, 195040, 470100
f8664208-4fb7-4130-af0f-054607246393, 10968, 298144, 194872, 493016
174063e9-7220-4dfd-b4ed-4d634acec464, 10848, 287632, 195092, 482724
94a103e1-61b7-4caf-a2ee-0c458afd8bbb, 10892, 297988, 194128, 492116
af761556-fd67-4e1b-a096-b091cd55e4e6, 10936, 286552, 193400, 479952
91d4b8d0-d67c-4d6b-9700-93db6ea602fb, 10696, 288172, 194892, 483064
cdfba1dc-2f82-459b-a291-ab61d76de22e, 11004, 307052, 197680, 504732
6c2fa4e8-cfdf-4f5c-80fa-39644f62d05e, 10796, 302252, 195836, 498088
f128625b-12a8-43e2-aaa3-55d529839b59, 10724, 305724, 197728, 503452
78c284fa-e514-4d5b-9856-aca3fdf5f024, 10848, 295748, 197776, 493524
89e2cc09-ab8c-4587-a033-a033887341a3, 10804, 313476, 197852, 511328
268fbfa2-4614-4aeb-a2f2-fd9db71fa592, 10724, 317684, 187836, 505520
2874452c-1460-43e7-84b0-004c5684f847, 10912, 319452, 188256, 507708
e3a70651-a531-44ba-882d-5201f5887e4f, 10884, 318516, 189836, 508352
9443c297-fc68-4892-af99-cd8b8209e442, 10988, 322100, 188496, 510596
6a37e29b-ee96-45e0-b5f9-aea4d371036a, 10852, 326688, 187952, 514640
d2e3ad1a-cdef-4acf-8684-42d87b47db26, 11044, 252484, 518516, 771000
b333a8ff-8f8f-47d0-99f5-fbee4d4dabd8, 10572, 252484, 487176, 739660
c9704d7f-44cc-4c9d-bc8a-e43fd1e40b96, 11016, 257660, 504576, 762236
4bd64f5d-ff81-42b8-9ebf-c2b8c68d44d2, 10788, 255204, 469276, 724480
87507694-582d-4bae-8bf9-d9427d9a8228, 10720, 249208, 489024, 738232
c27ff7d9-2de7-40f0-9140-5c24249e4e7d, 10912, 274748, 811892, 1086640
19f527fc-b27f-485e-b5d2-6e4a81eb1600, 11036, 279652, 875116, 1154768
d16bb2dd-f796-4937-9038-c84ec2f27d0c, 10852, 280840, 683196, 964036
71c4477e-5ca3-4b85-8247-ee8d55255b51, 11020, 270768, 713440, 984208
6a51b594-76af-4d89-b1df-5921727245e0, 11108, 274148, 877040, 1151188
5abe44b1-4aa0-4275-bfdb-c43621617ff1, 10956, 290320, 206232, 496552
b746b97b-88f6-41b5-af40-960aba51f477, 10904, 281904, 206412, 488316
0622d219-d3a8-428e-af76-68bd27987f5d, 11040, 287508, 206976, 494484
5d946d92-3db1-4c8d-b8f8-4f411497c8bf, 10768, 298600, 205972, 504572
753b2d40-d7b6-4ffc-8ab9-09829c5bab50, 10924, 287044, 205092, 492136
172f2565-dd19-4932-8bb0-a8d215f18c5b, 10948, 308196, 209092, 517288
62033ca1-d520-4485-84a1-e7a62bd04e88, 10864, 305176, 208680, 513856
8597e872-d364-4134-8782-efd86d2cfc44, 10868, 304404, 208592, 512996
07bc5d0f-c63a-4564-bce3-47e28318bb04, 11024, 302684, 210940, 513624
63e70a9a-e141-40ea-8002-5f2ad1c3f40e, 11208, 299672, 208680, 508352
