Execution ID:		3b65b73e-ca51-4044-a519-f0c8f3ad5d83
Backend:			kernel
Precision:			0.0001s
Input Metadata:		num_elements=10000000
Function:			consume_large_memory

TIME 1713412010.8380642		CURRENT 128.625 mb		PEAK 186.7421875 mb
TIME 1713412010.8697577		CURRENT 140.19140625 mb		PEAK 186.7421875 mb
TIME 1713412010.9016128		CURRENT 156.8203125 mb		PEAK 186.7421875 mb
TIME 1713412010.9331338		CURRENT 168.72265625 mb		PEAK 186.7421875 mb
TIME 1713412010.9389699		CURRENT 173.85546875 mb		PEAK 186.7421875 mb
TIME 1713412010.9602935		CURRENT 181.12890625 mb		PEAK 186.7421875 mb
TIME 1713412010.997154		CURRENT 200.9921875 mb		PEAK 200.9921875 mb
TIME 1713412011.008082		CURRENT 202.9921875 mb		PEAK 202.9921875 mb
TIME 1713412011.0242038		CURRENT 212.03515625 mb		PEAK 212.03515625 mb
TIME 1713412011.0298514		CURRENT 214.03515625 mb		PEAK 214.03515625 mb
TIME 1713412011.051037		CURRENT 222.33203125 mb		PEAK 222.33203125 mb
TIME 1713412011.0723016		CURRENT 234.91796875 mb		PEAK 234.91796875 mb
TIME 1713412011.098766		CURRENT 245.82421875 mb		PEAK 245.82421875 mb
TIME 1713412011.13577		CURRENT 262.09375 mb		PEAK 262.09375 mb
TIME 1713412011.1569273		CURRENT 270.09375 mb		PEAK 270.09375 mb
TIME 1713412011.1832166		CURRENT 282.7734375 mb		PEAK 282.7734375 mb
TIME 1713412011.2197907		CURRENT 300.9140625 mb		PEAK 300.9140625 mb
TIME 1713412011.2463417		CURRENT 311.9140625 mb		PEAK 311.9140625 mb
TIME 1713412011.2728982		CURRENT 326.5703125 mb		PEAK 326.5703125 mb
TIME 1713412011.3046489		CURRENT 341.80859375 mb		PEAK 341.80859375 mb
TIME 1713412011.3314042		CURRENT 349.80859375 mb		PEAK 349.80859375 mb
TIME 1713412011.3633978		CURRENT 360.80859375 mb		PEAK 360.80859375 mb
TIME 1713412011.3898525		CURRENT 375.703125 mb		PEAK 375.703125 mb
TIME 1713412011.41629		CURRENT 385.703125 mb		PEAK 385.703125 mb
TIME 1713412011.4375854		CURRENT 400.33203125 mb		PEAK 400.33203125 mb
TIME 1713412011.4587412		CURRENT 408.33203125 mb		PEAK 408.33203125 mb
TIME 1713412011.4800377		CURRENT 416.33203125 mb		PEAK 416.33203125 mb
TIME 1713412011.5123153		CURRENT 435.79296875 mb		PEAK 435.79296875 mb
TIME 1713412011.5440428		CURRENT 446.79296875 mb		PEAK 446.79296875 mb
TIME 1713412011.5653453		CURRENT 454.79296875 mb		PEAK 454.79296875 mb
TIME 1713412011.602376		CURRENT 476.18359375 mb		PEAK 476.18359375 mb
TIME 1713412011.6235466		CURRENT 483.18359375 mb		PEAK 483.18359375 mb
TIME 1713412011.6550667		CURRENT 495.18359375 mb		PEAK 495.18359375 mb
TIME 1713412011.6865149		CURRENT 506.18359375 mb		PEAK 506.18359375 mb
TIME 1713412011.765051		CURRENT 129.65625 mb		PEAK 518.625 mb
