Execution ID  	: 20240419_232840
Input Metadata	: num_elements=10000000
Backend       	: kernel
Precision     	: 0.0001 seconds
Function      	: consume_large_memory

MEMORY_USAGE	  111.45 MB
MEMORY_USAGE	  116.50 MB
MEMORY_USAGE	  121.84 MB
MEMORY_USAGE	  123.84 MB
MEMORY_USAGE	  127.64 MB
MEMORY_USAGE	  134.54 MB
MEMORY_USAGE	  139.67 MB
MEMORY_USAGE	  144.95 MB
MEMORY_USAGE	  147.95 MB
MEMORY_USAGE	  153.38 MB
MEMORY_USAGE	  160.00 MB
MEMORY_USAGE	  165.00 MB
MEMORY_USAGE	  168.81 MB
MEMORY_USAGE	  172.81 MB
MEMORY_USAGE	  176.85 MB
MEMORY_USAGE	  180.85 MB
MEMORY_USAGE	  183.85 MB
MEMORY_USAGE	  189.15 MB
MEMORY_USAGE	  194.15 MB
MEMORY_USAGE	  199.73 MB
MEMORY_USAGE	  203.73 MB
MEMORY_USAGE	  206.73 MB
MEMORY_USAGE	  212.64 MB
MEMORY_USAGE	  215.64 MB
MEMORY_USAGE	  218.64 MB
MEMORY_USAGE	  221.64 MB
MEMORY_USAGE	  228.91 MB
MEMORY_USAGE	  231.91 MB
MEMORY_USAGE	  233.91 MB
MEMORY_USAGE	  237.91 MB
MEMORY_USAGE	  245.59 MB
MEMORY_USAGE	  249.59 MB
MEMORY_USAGE	  251.59 MB
MEMORY_USAGE	  255.59 MB
MEMORY_USAGE	  258.59 MB
MEMORY_USAGE	  266.73 MB
MEMORY_USAGE	  270.73 MB
MEMORY_USAGE	  272.73 MB
MEMORY_USAGE	  274.73 MB
MEMORY_USAGE	  277.73 MB
MEMORY_USAGE	  279.73 MB
MEMORY_USAGE	  286.39 MB
MEMORY_USAGE	  288.39 MB
MEMORY_USAGE	  290.39 MB
MEMORY_USAGE	  292.39 MB
MEMORY_USAGE	  295.39 MB
MEMORY_USAGE	  297.39 MB
MEMORY_USAGE	  301.39 MB
MEMORY_USAGE	  310.62 MB
MEMORY_USAGE	  314.62 MB
MEMORY_USAGE	  318.62 MB
MEMORY_USAGE	  323.62 MB
MEMORY_USAGE	  327.62 MB
MEMORY_USAGE	  338.52 MB
MEMORY_USAGE	  340.52 MB
MEMORY_USAGE	  344.52 MB
MEMORY_USAGE	  348.52 MB
MEMORY_USAGE	  353.52 MB
MEMORY_USAGE	  357.52 MB
MEMORY_USAGE	  368.15 MB
MEMORY_USAGE	  373.15 MB
MEMORY_USAGE	  377.15 MB
MEMORY_USAGE	  382.15 MB
MEMORY_USAGE	  387.15 MB
MEMORY_USAGE	  391.15 MB
MEMORY_USAGE	  403.61 MB
MEMORY_USAGE	  408.61 MB
MEMORY_USAGE	  412.61 MB
MEMORY_USAGE	  417.61 MB
MEMORY_USAGE	  422.61 MB
MEMORY_USAGE	  426.61 MB
MEMORY_USAGE	  431.61 MB
MEMORY_USAGE	  445.00 MB
MEMORY_USAGE	  450.00 MB
MEMORY_USAGE	  454.00 MB
MEMORY_USAGE	  459.00 MB
MEMORY_USAGE	  464.00 MB
MEMORY_USAGE	  466.00 MB
MEMORY_USAGE	  471.00 MB
MEMORY_USAGE	  485.44 MB
MEMORY_USAGE	  174.47 MB
MEMORY_USAGE	  174.47 MB
MEMORY_USAGE	  174.47 MB
MEMORY_USAGE	  174.47 MB
MEMORY_USAGE	  174.47 MB
MEMORY_USAGE	  174.47 MB
MEMORY_USAGE	  174.47 MB
MEMORY_USAGE	  174.47 MB
MEMORY_USAGE	  174.47 MB
MEMORY_USAGE	  174.47 MB
MEMORY_USAGE	  174.47 MB
